1440.699951172,3.22e-07
1440.739990234,3.33e-07
1440.780029297,3.28e-07
1440.820068359,3.23e-07
1440.859985352,3.34e-07
1440.899902344,3.01e-07
1440.939941406,3.28e-07
1440.979980469,3.22e-07
1441.020019531,3.3e-07
1441.060058594,3.42e-07
1441.100097656,3.53e-07
1441.139892578,3.45e-07
1441.179931641,3.48e-07
1441.219970703,3.44e-07
1441.260009766,3.17e-07
1441.300048828,3.23e-07
1441.340087891,3.31e-07
1441.380004883,3.12e-07
1441.419921875,3.31e-07
1441.459960938,3.29e-07
1441.5,3.25e-07
1441.540039062,3.29e-07
1441.580078125,3.02e-07
1441.619995117,3.55e-07
1441.659912109,3.22e-07
1441.699951172,3.27e-07
1441.739990234,3.42e-07
1441.780029297,3.58e-07
1441.820068359,3.46e-07
1441.859985352,3.29e-07
1441.900024414,3.24e-07
1441.939941406,3.58e-07
1441.979980469,3.45e-07
1442.020019531,3.45e-07
1442.060058594,3.69e-07
1442.099975586,3.61e-07
1442.140014648,3.65e-07
1442.179931641,3.3e-07
1442.219970703,3.3e-07
1442.260009766,3.31e-07
1442.300048828,3.45e-07
1442.33996582,3.39e-07
1442.380004883,3.65e-07
1442.419921875,3.62e-07
1442.459960938,3.33e-07
1442.5,3.53e-07
1442.540039062,3.63e-07
1442.579956055,3.55e-07
1442.619995117,3.72e-07
1442.66003418,3.58e-07
1442.699951172,3.45e-07
1442.739990234,3.54e-07
1442.780029297,3.61e-07
1442.820068359,3.33e-07
1442.859985352,3.49e-07
1442.900024414,3.63e-07
1442.939941406,3.46e-07
1442.979980469,3.63e-07
1443.020019531,3.49e-07
1443.060058594,3.55e-07
1443.099975586,3.43e-07
1443.140014648,3.69e-07
1443.180053711,3.5e-07
1443.219970703,3.5e-07
1443.260009766,3.59e-07
1443.300048828,3.8e-07
1443.33996582,3.64e-07
1443.380004883,3.88e-07
1443.420043945,3.71e-07
1443.459960938,3.53e-07
1443.5,3.44e-07
1443.540039062,3.49e-07
1443.579956055,3.6e-07
1443.619995117,3.64e-07
1443.66003418,3.67e-07
1443.699951172,3.33e-07
1443.739990234,3.49e-07
1443.780029297,3.67e-07
1443.819946289,3.86e-07
1443.859985352,3.73e-07
1443.900024414,3.51e-07
1443.940063477,3.54e-07
1443.979980469,3.81e-07
1444.020019531,3.83e-07
1444.059936523,3.76e-07
1444.099975586,3.78e-07
