# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T12:57:32.528829

wavelength[nm],intensity[nW]
1440.699951172,0.000000092
1440.739990234,0.000000088
1440.780029297,0.000000092
1440.820068359,0.000000102
1440.859985352,0.000000095
1440.899902344,0.000000086
1440.939941406,0.000000091
1440.979980469,0.000000121
1441.020019531,0.000000099
1441.060058594,0.000000090
1441.100097656,0.000000110
1441.139892578,0.000000093
1441.179931641,0.000000118
1441.219970703,0.000000104
1441.260009766,0.000000102
1441.300048828,0.000000096
1441.340087891,0.000000103
1441.380004883,0.000000111
1441.419921875,0.000000098
1441.459960938,0.000000103
1441.500000000,0.000000102
1441.540039062,0.000000115
1441.580078125,0.000000083
1441.619995117,0.000000094
1441.659912109,0.000000088
1441.699951172,0.000000098
1441.739990234,0.000000097
1441.780029297,0.000000124
1441.820068359,0.000000113
1441.859985352,0.000000131
1441.900024414,0.000000105
1441.939941406,0.000000090
1441.979980469,0.000000156
1442.020019531,0.000000123
1442.060058594,0.000000118
1442.099975586,0.000000113
1442.140014648,0.000000118
1442.179931641,0.000000128
1442.219970703,0.000000145
1442.260009766,0.000000121
1442.300048828,0.000000110
1442.339965820,0.000000124
1442.380004883,0.000000117
1442.419921875,0.000000116
1442.459960938,0.000000141
1442.500000000,0.000000111
1442.540039062,0.000000110
1442.579956055,0.000000131
1442.619995117,0.000000115
1442.660034180,0.000000114
1442.699951172,0.000000116
1442.739990234,0.000000097
1442.780029297,0.000000115
1442.820068359,0.000000111
1442.859985352,0.000000130
1442.900024414,0.000000125
1442.939941406,0.000000122
1442.979980469,0.000000119
1443.020019531,0.000000134
1443.060058594,0.000000126
1443.099975586,0.000000153
1443.140014648,0.000000122
1443.180053711,0.000000114
1443.219970703,0.000000111
1443.260009766,0.000000116
1443.300048828,0.000000097
1443.339965820,0.000000122
1443.380004883,0.000000141
1443.420043945,0.000000127
1443.459960938,0.000000119
1443.500000000,0.000000119
1443.540039062,0.000000102
1443.579956055,0.000000141
1443.619995117,0.000000134
1443.660034180,0.000000116
1443.699951172,0.000000113
1443.739990234,0.000000123
1443.780029297,0.000000120
1443.819946289,0.000000128
1443.859985352,0.000000140
1443.900024414,0.000000118
1443.940063477,0.000000126
1443.979980469,0.000000128
1444.020019531,0.000000134
1444.059936523,0.000000138
1444.099975586,0.000000136
1444.140014648,0.000000144
1444.180053711,0.000000132
1444.219970703,0.000000136
1444.260009766,0.000000133
1444.299926758,0.000000117
1444.339965820,0.000000119
1444.380004883,0.000000106
1444.420043945,0.000000130
1444.460083008,0.000000139
1444.500000000,0.000000123
1444.539916992,0.000000140
1444.579956055,0.000000125
1444.619995117,0.000000123
1444.660034180,0.000000134
1444.700073242,0.000000137
1444.739990234,0.000000153
1444.780029297,0.000000110
1444.819946289,0.000000138
1444.859985352,0.000000153
1444.900024414,0.000000129
1444.940063477,0.000000129
1444.979980469,0.000000111
1445.020019531,0.000000119
1445.059936523,0.000000131
1445.099975586,0.000000103
1445.140014648,0.000000123
1445.180053711,0.000000125
1445.220092773,0.000000137
1445.260009766,0.000000121
1445.299926758,0.000000132
1445.339965820,0.000000132
1445.380004883,0.000000117
1445.420043945,0.000000120
1445.460083008,0.000000158
1445.500000000,0.000000128
1445.539916992,0.000000104
1445.579956055,0.000000120
1445.619995117,0.000000137
1445.660034180,0.000000097
1445.700073242,0.000000123
1445.740112305,0.000000122
1445.779907227,0.000000107
1445.819946289,0.000000131
1445.859985352,0.000000119
1445.900024414,0.000000126
1445.940063477,0.000000096
1445.980102539,0.000000126
1446.019897461,0.000000138
1446.059936523,0.000000138
1446.099975586,0.000000148
1446.140014648,0.000000140
1446.180053711,0.000000123
1446.220092773,0.000000130
1446.259887695,0.000000129
1446.299926758,0.000000138
1446.339965820,0.000000136
1446.380004883,0.000000109
1446.420043945,0.000000116
1446.460083008,0.000000106
1446.500000000,0.000000105
1446.539916992,0.000000150
1446.579956055,0.000000148
1446.619995117,0.000000101
1446.660034180,0.000000119
1446.700073242,0.000000115
1446.739990234,0.000000134
1446.779907227,0.000000121
1446.819946289,0.000000132
1446.859985352,0.000000112
1446.900024414,0.000000102
1446.940063477,0.000000115
1446.979980469,0.000000129
1447.020019531,0.000000126
1447.059936523,0.000000118
1447.099975586,0.000000128
1447.140014648,0.000000107
1447.180053711,0.000000111
1447.219970703,0.000000111
1447.260009766,0.000000117
1447.299926758,0.000000132
1447.339965820,0.000000116
1447.380004883,0.000000111
1447.420043945,0.000000095
1447.460083008,0.000000119
1447.500000000,0.000000113
1447.539916992,0.000000115
1447.579956055,0.000000132
1447.619995117,0.000000145
1447.660034180,0.000000125
1447.700073242,0.000000127
1447.739990234,0.000000124
1447.780029297,0.000000114
1447.819946289,0.000000134
1447.859985352,0.000000150
1447.900024414,0.000000104
1447.940063477,0.000000122
1447.979980469,0.000000116
1448.020019531,0.000000113
1448.059936523,0.000000119
1448.099975586,0.000000104
1448.140014648,0.000000108
1448.180053711,0.000000110
1448.219970703,0.000000113
1448.260009766,0.000000124
1448.300048828,0.000000120
1448.339965820,0.000000108
1448.380004883,0.000000104
1448.420043945,0.000000095
1448.459960938,0.000000110
1448.500000000,0.000000106
1448.540039062,0.000000117
1448.579956055,0.000000101
1448.619995117,0.000000111
1448.660034180,0.000000102
1448.699951172,0.000000120
1448.739990234,0.000000136
1448.780029297,0.000000131
1448.819946289,0.000000118
1448.859985352,0.000000114
1448.900024414,0.000000100
1448.939941406,0.000000102
1448.979980469,0.000000112
1449.020019531,0.000000094
1449.060058594,0.000000091
1449.099975586,0.000000124
1449.140014648,0.000000105
1449.179931641,0.000000107
1449.219970703,0.000000088
1449.260009766,0.000000108
1449.300048828,0.000000124
1449.339965820,0.000000114
1449.380004883,0.000000110
1449.420043945,0.000000101
1449.459960938,0.000000099
1449.500000000,0.000000110
1449.540039062,0.000000109
1449.580078125,0.000000092
1449.619995117,0.000000107
1449.660034180,0.000000093
1449.699951172,0.000000107
1449.739990234,0.000000105
1449.780029297,0.000000121
1449.820068359,0.000000101
1449.859985352,0.000000108
1449.900024414,0.000000096
1449.939941406,0.000000115
1449.979980469,0.000000114
1450.020019531,0.000000095
1450.060058594,0.000000089
1450.099975586,0.000000094
1450.140014648,0.000000092
1450.179931641,0.000000097
1450.219970703,0.000000119
1450.260009766,0.000000082
1450.300048828,0.000000082
1450.340087891,0.000000120
1450.380004883,0.000000060
1450.419921875,0.000000073
1450.459960938,0.000000079
1450.500000000,0.000000073
1450.540039062,0.000000081
1450.580078125,0.000000088
1450.619995117,0.000000066
1450.659912109,0.000000072
1450.699951172,0.000000103
1450.739990234,0.000000064
1450.780029297,0.000000082
1450.820068359,0.000000073
1450.860107422,0.000000094
1450.899902344,0.000000070
1450.939941406,0.000000080
1450.979980469,0.000000075
1451.020019531,0.000000106
1451.060058594,0.000000080
1451.100097656,0.000000092
1451.139892578,0.000000092
1451.179931641,0.000000081
1451.219970703,0.000000075
1451.260009766,0.000000090
1451.300048828,0.000000058
1451.340087891,0.000000091
1451.380004883,0.000000082
1451.419921875,0.000000077
1451.459960938,0.000000083
1451.500000000,0.000000076
1451.540039062,0.000000084
1451.580078125,0.000000107
1451.619995117,0.000000085
1451.659912109,0.000000052
1451.699951172,0.000000074
1451.739990234,0.000000079
1451.780029297,0.000000062
1451.820068359,0.000000044
1451.859985352,0.000000071
1451.899902344,0.000000071
1451.939941406,0.000000079
1451.979980469,0.000000052
1452.020019531,0.000000094
1452.060058594,0.000000079
1452.100097656,0.000000059
1452.140014648,0.000000056
1452.179931641,0.000000061
1452.219970703,0.000000057
1452.260009766,0.000000054
1452.300048828,0.000000053
1452.340087891,0.000000072
1452.380004883,0.000000077
1452.419921875,0.000000079
1452.459960938,0.000000066
1452.500000000,0.000000062
1452.540039062,0.000000081
1452.580078125,0.000000060
1452.619995117,0.000000064
1452.659912109,0.000000054
1452.699951172,0.000000057
1452.739990234,0.000000057
1452.780029297,0.000000031
1452.820068359,0.000000054
1452.859985352,0.000000040
1452.900024414,0.000000051
1452.939941406,0.000000055
1452.979980469,0.000000047
1453.020019531,0.000000064
1453.060058594,0.000000052
1453.099975586,0.000000046
1453.140014648,0.000000047
1453.179931641,0.000000050
1453.219970703,0.000000043
1453.260009766,0.000000037
1453.300048828,0.000000062
1453.339965820,0.000000051
1453.380004883,0.000000052
1453.420043945,0.000000050
1453.459960938,0.000000059
1453.500000000,0.000000047
