# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-04T14:35:41.690898

wavelength[nm],intensity[nW]
1440.699951172,0.000000150
1440.739990234,0.000000136
1440.780029297,0.000000152
1440.820068359,0.000000171
1440.859985352,0.000000185
1440.899902344,0.000000239
1440.939941406,0.000000266
1440.979980469,0.000000253
1441.020019531,0.000000213
1441.060058594,0.000000175
1441.100097656,0.000000157
1441.139892578,0.000000113
1441.179931641,0.000000111
1441.219970703,0.000000158
1441.260009766,0.000000210
1441.300048828,0.000000221
1441.340087891,0.000000249
1441.380004883,0.000000262
1441.419921875,0.000000263
1441.459960938,0.000000216
1441.500000000,0.000000205
1441.540039062,0.000000159
1441.580078125,0.000000164
1441.619995117,0.000000138
1441.659912109,0.000000198
1441.699951172,0.000000217
1441.739990234,0.000000239
1441.780029297,0.000000272
1441.820068359,0.000000251
1441.859985352,0.000000239
1441.900024414,0.000000183
1441.939941406,0.000000173
1441.979980469,0.000000148
1442.020019531,0.000000129
1442.060058594,0.000000191
1442.099975586,0.000000246
1442.140014648,0.000000252
1442.179931641,0.000000264
1442.219970703,0.000000277
1442.260009766,0.000000289
1442.300048828,0.000000238
1442.339965820,0.000000179
1442.380004883,0.000000162
1442.419921875,0.000000141
1442.459960938,0.000000134
1442.500000000,0.000000186
1442.540039062,0.000000212
1442.579956055,0.000000285
1442.619995117,0.000000288
1442.660034180,0.000000270
1442.699951172,0.000000239
1442.739990234,0.000000181
1442.780029297,0.000000159
1442.820068359,0.000000155
1442.859985352,0.000000125
1442.900024414,0.000000188
1442.939941406,0.000000220
1442.979980469,0.000000226
1443.020019531,0.000000246
1443.060058594,0.000000284
1443.099975586,0.000000254
1443.140014648,0.000000221
1443.180053711,0.000000176
1443.219970703,0.000000185
1443.260009766,0.000000182
1443.300048828,0.000000172
1443.339965820,0.000000206
1443.380004883,0.000000237
1443.420043945,0.000000267
1443.459960938,0.000000322
1443.500000000,0.000000290
1443.540039062,0.000000255
1443.579956055,0.000000190
1443.619995117,0.000000183
1443.660034180,0.000000161
1443.699951172,0.000000138
1443.739990234,0.000000149
1443.780029297,0.000000265
1443.819946289,0.000000268
1443.859985352,0.000000281
1443.900024414,0.000000302
1443.940063477,0.000000290
1443.979980469,0.000000259
1444.020019531,0.000000207
1444.059936523,0.000000202
1444.099975586,0.000000225
1444.140014648,0.000000215
1444.180053711,0.000000211
1444.219970703,0.000000239
1444.260009766,0.000000262
1444.299926758,0.000000274
1444.339965820,0.000000284
