# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-04T14:35:09.637241

wavelength[nm],intensity[nW]
1440.699951172,0.000000096
1440.739990234,0.000000162
1440.780029297,0.000000126
1440.820068359,0.000000151
1440.859985352,0.000000177
1440.899902344,0.000000127
1440.939941406,0.000000132
1440.979980469,0.000000106
1441.020019531,0.000000057
1441.060058594,0.000000054
1441.100097656,0.000000068
1441.139892578,0.000000109
1441.179931641,0.000000152
1441.219970703,0.000000122
1441.260009766,0.000000171
1441.300048828,0.000000165
1441.340087891,0.000000109
1441.380004883,0.000000096
1441.419921875,0.000000077
1441.459960938,0.000000091
1441.500000000,0.000000082
1441.540039062,0.000000081
1441.580078125,0.000000126
1441.619995117,0.000000137
1441.659912109,0.000000098
1441.699951172,0.000000122
1441.739990234,0.000000130
1441.780029297,0.000000138
1441.820068359,0.000000124
1441.859985352,0.000000080
1441.900024414,0.000000068
1441.939941406,0.000000082
1441.979980469,0.000000104
1442.020019531,0.000000134
1442.060058594,0.000000154
1442.099975586,0.000000200
1442.140014648,0.000000203
1442.179931641,0.000000097
1442.219970703,0.000000097
1442.260009766,0.000000080
1442.300048828,0.000000090
1442.339965820,0.000000094
1442.380004883,0.000000083
1442.419921875,0.000000133
1442.459960938,0.000000122
1442.500000000,0.000000082
1442.540039062,0.000000120
1442.579956055,0.000000134
1442.619995117,0.000000126
1442.660034180,0.000000139
1442.699951172,0.000000091
1442.739990234,0.000000071
1442.780029297,0.000000082
1442.820068359,0.000000105
1442.859985352,0.000000151
1442.900024414,0.000000151
1442.939941406,0.000000179
1442.979980469,0.000000206
1443.020019531,0.000000124
1443.060058594,0.000000066
1443.099975586,0.000000073
1443.140014648,0.000000087
1443.180053711,0.000000067
1443.219970703,0.000000107
1443.260009766,0.000000129
1443.300048828,0.000000098
1443.339965820,0.000000094
1443.380004883,0.000000126
1443.420043945,0.000000119
1443.459960938,0.000000132
1443.500000000,0.000000152
1443.540039062,0.000000097
1443.579956055,0.000000058
1443.619995117,0.000000062
1443.660034180,0.000000079
1443.699951172,0.000000135
1443.739990234,0.000000147
1443.780029297,0.000000181
1443.819946289,0.000000194
1443.859985352,0.000000164
1443.900024414,0.000000110
1443.940063477,0.000000087
1443.979980469,0.000000116
1444.020019531,0.000000131
1444.059936523,0.000000102
1444.099975586,0.000000103
1444.140014648,0.000000123
1444.180053711,0.000000105
1444.219970703,0.000000083
1444.260009766,0.000000100
1444.299926758,0.000000122
1444.339965820,0.000000110
1444.380004883,0.000000094
1444.420043945,0.000000070
1444.460083008,0.000000062
1444.500000000,0.000000075
1444.539916992,0.000000146
1444.579956055,0.000000160
1444.619995117,0.000000187
1444.660034180,0.000000231
1444.700073242,0.000000184
1444.739990234,0.000000126
1444.780029297,0.000000109
1444.819946289,0.000000114
1444.859985352,0.000000095
1444.900024414,0.000000091
1444.940063477,0.000000097
1444.979980469,0.000000108
1445.020019531,0.000000092
1445.059936523,0.000000110
1445.099975586,0.000000130
1445.140014648,0.000000136
1445.180053711,0.000000135
1445.220092773,0.000000118
1445.260009766,0.000000115
1445.299926758,0.000000091
1445.339965820,0.000000088
1445.380004883,0.000000160
1445.420043945,0.000000147
1445.460083008,0.000000145
1445.500000000,0.000000197
1445.539916992,0.000000168
1445.579956055,0.000000119
1445.619995117,0.000000088
1445.660034180,0.000000074
1445.700073242,0.000000080
1445.740112305,0.000000060
1445.779907227,0.000000076
1445.819946289,0.000000079
1445.859985352,0.000000075
