# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-04T14:35:57.676157

wavelength[nm],intensity[nW]
1440.699951172,0.000000083
1440.739990234,0.000000104
1440.780029297,0.000000104
1440.820068359,0.000000069
1440.859985352,0.000000057
1440.899902344,0.000000064
1440.939941406,0.000000047
1440.979980469,0.000000066
1441.020019531,0.000000072
1441.060058594,0.000000097
1441.100097656,0.000000109
1441.139892578,0.000000130
1441.179931641,0.000000102
1441.219970703,0.000000086
1441.260009766,0.000000084
1441.300048828,0.000000061
1441.340087891,0.000000040
1441.380004883,0.000000056
1441.419921875,0.000000053
1441.459960938,0.000000091
1441.500000000,0.000000050
1441.540039062,0.000000091
1441.580078125,0.000000115
1441.619995117,0.000000100
1441.659912109,0.000000103
1441.699951172,0.000000062
1441.739990234,0.000000030
1441.780029297,0.000000055
1441.820068359,0.000000086
1441.859985352,0.000000070
1441.900024414,0.000000116
1441.939941406,0.000000149
1441.979980469,0.000000149
1442.020019531,0.000000119
1442.060058594,0.000000057
1442.099975586,0.000000050
1442.140014648,0.000000058
1442.179931641,0.000000059
1442.219970703,0.000000031
1442.260009766,0.000000066
1442.300048828,0.000000065
1442.339965820,0.000000102
1442.380004883,0.000000106
1442.419921875,0.000000131
1442.459960938,0.000000125
1442.500000000,0.000000088
1442.540039062,0.000000080
1442.579956055,0.000000062
1442.619995117,0.000000052
1442.660034180,0.000000051
1442.699951172,0.000000086
1442.739990234,0.000000093
1442.780029297,0.000000104
1442.820068359,0.000000134
1442.859985352,0.000000104
1442.900024414,0.000000074
1442.939941406,0.000000086
1442.979980469,0.000000045
1443.020019531,0.000000073
1443.060058594,0.000000088
1443.099975586,0.000000057
1443.140014648,0.000000080
1443.180053711,0.000000095
1443.219970703,0.000000105
1443.260009766,0.000000095
1443.300048828,0.000000096
1443.339965820,0.000000086
1443.380004883,0.000000064
1443.420043945,0.000000039
1443.459960938,0.000000049
1443.500000000,0.000000056
1443.540039062,0.000000084
1443.579956055,0.000000069
1443.619995117,0.000000109
1443.660034180,0.000000134
1443.699951172,0.000000097
1443.739990234,0.000000103
1443.780029297,0.000000086
1443.819946289,0.000000067
1443.859985352,0.000000053
1443.900024414,0.000000077
1443.940063477,0.000000026
1443.979980469,0.000000067
1444.020019531,0.000000069
1444.059936523,0.000000103
1444.099975586,0.000000116
1444.140014648,0.000000100
1444.180053711,0.000000096
1444.219970703,0.000000087
1444.260009766,0.000000065
1444.299926758,0.000000061
1444.339965820,0.000000059
1444.380004883,0.000000085
1444.420043945,0.000000097
1444.460083008,0.000000117
1444.500000000,0.000000161
1444.539916992,0.000000122
1444.579956055,0.000000080
1444.619995117,0.000000084
1444.660034180,0.000000078
1444.700073242,0.000000068
1444.739990234,0.000000073
1444.780029297,0.000000060
1444.819946289,0.000000083
1444.859985352,0.000000077
1444.900024414,0.000000090
1444.940063477,0.000000118
1444.979980469,0.000000121
1445.020019531,0.000000113
1445.059936523,0.000000072
1445.099975586,0.000000059
1445.140014648,0.000000057
1445.180053711,0.000000055
1445.220092773,0.000000070
1445.260009766,0.000000113
1445.299926758,0.000000102
1445.339965820,0.000000137
1445.380004883,0.000000111
1445.420043945,0.000000075
1445.460083008,0.000000074
1445.500000000,0.000000062
1445.539916992,0.000000069
1445.579956055,0.000000051
1445.619995117,0.000000065
1445.660034180,0.000000069
1445.700073242,0.000000079
1445.740112305,0.000000099
1445.779907227,0.000000099
1445.819946289,0.000000092
1445.859985352,0.000000080
1445.900024414,0.000000071
1445.940063477,0.000000091
1445.980102539,0.000000079
1446.019897461,0.000000079
1446.059936523,0.000000086
1446.099975586,0.000000095
1446.140014648,0.000000096
1446.180053711,0.000000116
1446.220092773,0.000000110
1446.259887695,0.000000086
1446.299926758,0.000000074
1446.339965820,0.000000054
1446.380004883,0.000000065
1446.420043945,0.000000058
1446.460083008,0.000000075
1446.500000000,0.000000096
1446.539916992,0.000000091
1446.579956055,0.000000103
1446.619995117,0.000000086
1446.660034180,0.000000088
1446.700073242,0.000000084
1446.739990234,0.000000092
1446.779907227,0.000000094
1446.819946289,0.000000074
1446.859985352,0.000000068
1446.900024414,0.000000075
1446.940063477,0.000000080
1446.979980469,0.000000087
1447.020019531,0.000000109
1447.059936523,0.000000119
1447.099975586,0.000000102
1447.140014648,0.000000063
1447.180053711,0.000000066
1447.219970703,0.000000059
1447.260009766,0.000000091
1447.299926758,0.000000068
1447.339965820,0.000000069
1447.380004883,0.000000094
1447.420043945,0.000000104
1447.460083008,0.000000121
1447.500000000,0.000000112
1447.539916992,0.000000085
1447.579956055,0.000000072
1447.619995117,0.000000095
1447.660034180,0.000000110
1447.700073242,0.000000080
1447.739990234,0.000000079
1447.780029297,0.000000098
1447.819946289,0.000000116
1447.859985352,0.000000123
1447.900024414,0.000000085
1447.940063477,0.000000101
1447.979980469,0.000000076
1448.020019531,0.000000097
1448.059936523,0.000000098
1448.099975586,0.000000071
1448.140014648,0.000000063
1448.180053711,0.000000086
1448.219970703,0.000000082
1448.260009766,0.000000086
1448.300048828,0.000000104
1448.339965820,0.000000127
1448.380004883,0.000000098
1448.420043945,0.000000106
1448.459960938,0.000000084
1448.500000000,0.000000101
1448.540039062,0.000000070
1448.579956055,0.000000082
1448.619995117,0.000000103
1448.660034180,0.000000162
1448.699951172,0.000000130
