# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-04T14:35:15.011781

wavelength[nm],intensity[nW]
1440.699951172,0.000000322
1440.739990234,0.000000333
1440.780029297,0.000000328
1440.820068359,0.000000323
1440.859985352,0.000000334
1440.899902344,0.000000301
1440.939941406,0.000000328
1440.979980469,0.000000322
1441.020019531,0.000000330
1441.060058594,0.000000342
1441.100097656,0.000000353
1441.139892578,0.000000345
1441.179931641,0.000000348
1441.219970703,0.000000344
1441.260009766,0.000000317
1441.300048828,0.000000323
1441.340087891,0.000000331
1441.380004883,0.000000312
1441.419921875,0.000000331
1441.459960938,0.000000329
1441.500000000,0.000000325
1441.540039062,0.000000329
1441.580078125,0.000000302
1441.619995117,0.000000355
1441.659912109,0.000000322
1441.699951172,0.000000327
1441.739990234,0.000000342
1441.780029297,0.000000358
1441.820068359,0.000000346
1441.859985352,0.000000329
1441.900024414,0.000000324
1441.939941406,0.000000358
1441.979980469,0.000000345
1442.020019531,0.000000345
1442.060058594,0.000000369
1442.099975586,0.000000361
1442.140014648,0.000000365
1442.179931641,0.000000330
1442.219970703,0.000000330
1442.260009766,0.000000331
1442.300048828,0.000000345
1442.339965820,0.000000339
1442.380004883,0.000000365
1442.419921875,0.000000362
1442.459960938,0.000000333
1442.500000000,0.000000353
1442.540039062,0.000000363
1442.579956055,0.000000355
1442.619995117,0.000000372
1442.660034180,0.000000358
1442.699951172,0.000000345
1442.739990234,0.000000354
1442.780029297,0.000000361
1442.820068359,0.000000333
1442.859985352,0.000000349
1442.900024414,0.000000363
1442.939941406,0.000000346
1442.979980469,0.000000363
1443.020019531,0.000000349
1443.060058594,0.000000355
1443.099975586,0.000000343
1443.140014648,0.000000369
1443.180053711,0.000000350
1443.219970703,0.000000350
1443.260009766,0.000000359
1443.300048828,0.000000380
1443.339965820,0.000000364
1443.380004883,0.000000388
1443.420043945,0.000000371
1443.459960938,0.000000353
1443.500000000,0.000000344
1443.540039062,0.000000349
1443.579956055,0.000000360
1443.619995117,0.000000364
1443.660034180,0.000000367
1443.699951172,0.000000333
1443.739990234,0.000000349
1443.780029297,0.000000367
1443.819946289,0.000000386
1443.859985352,0.000000373
1443.900024414,0.000000351
1443.940063477,0.000000354
1443.979980469,0.000000381
1444.020019531,0.000000383
1444.059936523,0.000000376
1444.099975586,0.000000378
1444.140014648,0.000000362
1444.180053711,0.000000381
1444.219970703,0.000000383
1444.260009766,0.000000387
1444.299926758,0.000000391
1444.339965820,0.000000369
1444.380004883,0.000000360
1444.420043945,0.000000367
1444.460083008,0.000000389
1444.500000000,0.000000347
1444.539916992,0.000000353
1444.579956055,0.000000379
1444.619995117,0.000000381
1444.660034180,0.000000391
1444.700073242,0.000000377
1444.739990234,0.000000373
1444.780029297,0.000000377
1444.819946289,0.000000384
1444.859985352,0.000000382
1444.900024414,0.000000387
1444.940063477,0.000000375
1444.979980469,0.000000378
1445.020019531,0.000000368
1445.059936523,0.000000393
1445.099975586,0.000000412
1445.140014648,0.000000410
1445.180053711,0.000000410
1445.220092773,0.000000398
1445.260009766,0.000000366
1445.299926758,0.000000377
1445.339965820,0.000000401
1445.380004883,0.000000369
1445.420043945,0.000000393
1445.460083008,0.000000390
1445.500000000,0.000000394
1445.539916992,0.000000386
1445.579956055,0.000000376
1445.619995117,0.000000344
1445.660034180,0.000000377
1445.700073242,0.000000347
1445.740112305,0.000000374
1445.779907227,0.000000315
1445.819946289,0.000000346
1445.859985352,0.000000357
1445.900024414,0.000000376
1445.940063477,0.000000388
1445.980102539,0.000000392
1446.019897461,0.000000399
1446.059936523,0.000000375
1446.099975586,0.000000407
1446.140014648,0.000000405
1446.180053711,0.000000373
1446.220092773,0.000000386
1446.259887695,0.000000388
1446.299926758,0.000000396
1446.339965820,0.000000402
1446.380004883,0.000000420
1446.420043945,0.000000389
1446.460083008,0.000000413
1446.500000000,0.000000406
1446.539916992,0.000000411
1446.579956055,0.000000397
1446.619995117,0.000000369
1446.660034180,0.000000351
1446.700073242,0.000000391
1446.739990234,0.000000407
1446.779907227,0.000000417
1446.819946289,0.000000422
1446.859985352,0.000000408
1446.900024414,0.000000415
1446.940063477,0.000000423
1446.979980469,0.000000397
1447.020019531,0.000000383
1447.059936523,0.000000395
1447.099975586,0.000000408
1447.140014648,0.000000417
1447.180053711,0.000000438
1447.219970703,0.000000423
1447.260009766,0.000000410
1447.299926758,0.000000415
1447.339965820,0.000000426
1447.380004883,0.000000441
1447.420043945,0.000000413
1447.460083008,0.000000413
1447.500000000,0.000000395
1447.539916992,0.000000402
1447.579956055,0.000000448
1447.619995117,0.000000459
1447.660034180,0.000000447
1447.700073242,0.000000432
1447.739990234,0.000000445
1447.780029297,0.000000432
1447.819946289,0.000000434
1447.859985352,0.000000391
1447.900024414,0.000000400
1447.940063477,0.000000425
1447.979980469,0.000000441
1448.020019531,0.000000426
1448.059936523,0.000000442
1448.099975586,0.000000447
1448.140014648,0.000000461
1448.180053711,0.000000466
1448.219970703,0.000000437
1448.260009766,0.000000438
1448.300048828,0.000000405
1448.339965820,0.000000411
1448.380004883,0.000000427
1448.420043945,0.000000443
1448.459960938,0.000000457
1448.500000000,0.000000456
1448.540039062,0.000000455
1448.579956055,0.000000468
1448.619995117,0.000000482
1448.660034180,0.000000455
1448.699951172,0.000000432
1448.739990234,0.000000388
1448.780029297,0.000000447
1448.819946289,0.000000453
1448.859985352,0.000000490
1448.900024414,0.000000480
1448.939941406,0.000000465
1448.979980469,0.000000453
1449.020019531,0.000000473
1449.060058594,0.000000488
1449.099975586,0.000000451
1449.140014648,0.000000445
1449.179931641,0.000000421
1449.219970703,0.000000437
1449.260009766,0.000000470
1449.300048828,0.000000497
1449.339965820,0.000000507
1449.380004883,0.000000491
1449.420043945,0.000000476
1449.459960938,0.000000473
1449.500000000,0.000000486
1449.540039062,0.000000452
1449.580078125,0.000000413
1449.619995117,0.000000458
1449.660034180,0.000000472
1449.699951172,0.000000485
1449.739990234,0.000000497
1449.780029297,0.000000482
1449.820068359,0.000000500
1449.859985352,0.000000469
1449.900024414,0.000000473
1449.939941406,0.000000460
1449.979980469,0.000000464
1450.020019531,0.000000469
1450.060058594,0.000000456
1450.099975586,0.000000499
1450.140014648,0.000000497
1450.179931641,0.000000531
1450.219970703,0.000000525
1450.260009766,0.000000494
1450.300048828,0.000000492
1450.340087891,0.000000474
1450.380004883,0.000000462
1450.419921875,0.000000437
1450.459960938,0.000000448
1450.500000000,0.000000484
1450.540039062,0.000000482
1450.580078125,0.000000509
1450.619995117,0.000000494
1450.659912109,0.000000492
1450.699951172,0.000000514
1450.739990234,0.000000457
1450.780029297,0.000000454
1450.820068359,0.000000456
1450.860107422,0.000000470
1450.899902344,0.000000479
1450.939941406,0.000000503
1450.979980469,0.000000513
1451.020019531,0.000000517
1451.060058594,0.000000523
1451.100097656,0.000000533
1451.139892578,0.000000537
1451.179931641,0.000000538
1451.219970703,0.000000493
1451.260009766,0.000000475
1451.300048828,0.000000502
1451.340087891,0.000000505
1451.380004883,0.000000546
1451.419921875,0.000000564
1451.459960938,0.000000564
1451.500000000,0.000000543
1451.540039062,0.000000527
1451.580078125,0.000000555
1451.619995117,0.000000538
1451.659912109,0.000000539
1451.699951172,0.000000504
1451.739990234,0.000000513
1451.780029297,0.000000531
1451.820068359,0.000000591
1451.859985352,0.000000545
1451.899902344,0.000000537
1451.939941406,0.000000576
1451.979980469,0.000000571
1452.020019531,0.000000575
1452.060058594,0.000000505
1452.100097656,0.000000530
1452.140014648,0.000000536
1452.179931641,0.000000553
1452.219970703,0.000000569
1452.260009766,0.000000562
1452.300048828,0.000000571
1452.340087891,0.000000593
1452.380004883,0.000000569
1452.419921875,0.000000538
1452.459960938,0.000000570
1452.500000000,0.000000570
1452.540039062,0.000000535
1452.580078125,0.000000519
1452.619995117,0.000000567
1452.659912109,0.000000588
1452.699951172,0.000000607
1452.739990234,0.000000616
1452.780029297,0.000000621
1452.820068359,0.000000620
1452.859985352,0.000000593
1452.900024414,0.000000583
1452.939941406,0.000000565
1452.979980469,0.000000535
1453.020019531,0.000000606
1453.060058594,0.000000603
1453.099975586,0.000000610
1453.140014648,0.000000594
1453.179931641,0.000000639
1453.219970703,0.000000630
1453.260009766,0.000000615
1453.300048828,0.000000619
1453.339965820,0.000000590
1453.380004883,0.000000567
1453.420043945,0.000000556
1453.459960938,0.000000603
1453.500000000,0.000000620
1453.540039062,0.000000619
1453.579956055,0.000000658
1453.619995117,0.000000646
1453.660034180,0.000000658
1453.699951172,0.000000649
1453.739990234,0.000000615
1453.780029297,0.000000581
1453.819946289,0.000000571
1453.859985352,0.000000637
1453.900024414,0.000000635
1453.939941406,0.000000659
1453.979980469,0.000000661
1454.020019531,0.000000668
1454.060058594,0.000000677
1454.099975586,0.000000653
1454.140014648,0.000000652
1454.180053711,0.000000657
1454.219970703,0.000000608
1454.260009766,0.000000568
1454.300048828,0.000000603
1454.339965820,0.000000684
1454.380004883,0.000000677
1454.420043945,0.000000680
1454.459960938,0.000000692
1454.500000000,0.000000679
1454.540039062,0.000000676
1454.579956055,0.000000702
1454.619995117,0.000000610
1454.660034180,0.000000607
1454.700073242,0.000000659
1454.739990234,0.000000670
1454.780029297,0.000000717
1454.819946289,0.000000729
1454.859985352,0.000000733
1454.900024414,0.000000738
1454.940063477,0.000000698
1454.979980469,0.000000704
1455.020019531,0.000000675
1455.059936523,0.000000648
1455.099975586,0.000000640
1455.140014648,0.000000668
1455.180053711,0.000000733
1455.219970703,0.000000736
1455.260009766,0.000000746
1455.299926758,0.000000729
1455.339965820,0.000000752
1455.380004883,0.000000748
1455.420043945,0.000000720
1455.460083008,0.000000637
1455.500000000,0.000000622
1455.539916992,0.000000658
1455.579956055,0.000000740
1455.619995117,0.000000783
1455.660034180,0.000000790
1455.700073242,0.000000788
1455.739990234,0.000000783
1455.779907227,0.000000744
1455.819946289,0.000000722
1455.859985352,0.000000720
1455.900024414,0.000000683
1455.940063477,0.000000678
1455.980102539,0.000000713
1456.020019531,0.000000808
1456.059936523,0.000000819
1456.099975586,0.000000833
1456.140014648,0.000000863
1456.180053711,0.000000832
1456.220092773,0.000000817
1456.260009766,0.000000781
1456.299926758,0.000000704
1456.339965820,0.000000697
1456.380004883,0.000000771
1456.420043945,0.000000807
1456.460083008,0.000000825
1456.500000000,0.000000841
1456.539916992,0.000000859
1456.579956055,0.000000891
1456.619995117,0.000000831
1456.660034180,0.000000806
1456.700073242,0.000000778
1456.739990234,0.000000767
1456.779907227,0.000000743
1456.819946289,0.000000791
1456.859985352,0.000000874
1456.900024414,0.000000876
1456.940063477,0.000000915
1456.980102539,0.000000922
1457.019897461,0.000000898
1457.059936523,0.000000880
1457.099975586,0.000000842
1457.140014648,0.000000733
1457.180053711,0.000000723
1457.220092773,0.000000806
1457.260009766,0.000000887
1457.299926758,0.000000930
1457.339965820,0.000000970
1457.380004883,0.000000954
1457.420043945,0.000000947
1457.460083008,0.000000921
1457.500000000,0.000000871
1457.539916992,0.000000849
1457.579956055,0.000000813
1457.619995117,0.000000812
1457.660034180,0.000000857
1457.700073242,0.000000973
1457.739990234,0.000000980
1457.779907227,0.000001006
1457.819946289,0.000000997
1457.859985352,0.000001004
1457.900024414,0.000000961
1457.940063477,0.000000890
1457.979980469,0.000000735
1458.020019531,0.000000813
1458.059936523,0.000000903
1458.099975586,0.000000991
1458.140014648,0.000001014
1458.180053711,0.000001060
1458.219970703,0.000001065
1458.260009766,0.000001048
1458.299926758,0.000000993
1458.339965820,0.000000935
1458.380004883,0.000000906
1458.420043945,0.000000875
1458.459960938,0.000000883
1458.500000000,0.000001000
1458.540039062,0.000001096
1458.579956055,0.000001097
1458.619995117,0.000001136
1458.660034180,0.000001132
1458.700073242,0.000001116
1458.739990234,0.000001074
1458.780029297,0.000000965
1458.819946289,0.000000854
1458.859985352,0.000000960
1458.900024414,0.000001059
1458.940063477,0.000001141
1458.979980469,0.000001142
1459.020019531,0.000001177
1459.059936523,0.000001202
1459.099975586,0.000001167
1459.140014648,0.000001101
1459.180053711,0.000001041
1459.219970703,0.000001023
1459.260009766,0.000000988
1459.300048828,0.000000998
1459.339965820,0.000001138
1459.380004883,0.000001214
1459.420043945,0.000001230
1459.459960938,0.000001216
1459.500000000,0.000001263
1459.540039062,0.000001223
1459.579956055,0.000001188
1459.619995117,0.000001049
1459.660034180,0.000000945
1459.699951172,0.000001048
1459.739990234,0.000001184
1459.780029297,0.000001257
1459.820068359,0.000001297
1459.859985352,0.000001325
1459.900024414,0.000001327
1459.939941406,0.000001251
1459.979980469,0.000001176
1460.020019531,0.000001160
1460.060058594,0.000001195
1460.099975586,0.000001174
1460.140014648,0.000001181
1460.179931641,0.000001233
1460.219970703,0.000001304
1460.260009766,0.000001289
1460.300048828,0.000001350
1460.339965820,0.000001344
1460.380004883,0.000001343
1460.419921875,0.000001341
1460.459960938,0.000001204
