# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T09:48:33.264253

wavelength[nm],intensity[nW]
1443.540039062,0.000000065
1443.579956055,0.000000035
1443.619995117,0.000000060
1443.660034180,0.000000045
1443.699951172,0.000000056
1443.739990234,0.000000064
1443.780029297,0.000000056
1443.819946289,0.000000057
1443.859985352,0.000000067
1443.900024414,0.000000081
1443.940063477,0.000000068
1443.979980469,0.000000087
1444.020019531,0.000000039
1444.059936523,0.000000061
1444.099975586,0.000000063
1444.140014648,0.000000068
1444.180053711,0.000000050
1444.219970703,0.000000086
1444.260009766,0.000000051
1444.299926758,0.000000069
1444.339965820,0.000000059
1444.380004883,0.000000069
1444.420043945,0.000000054
1444.460083008,0.000000075
1444.500000000,0.000000067
1444.539916992,0.000000078
1444.579956055,0.000000075
1444.619995117,0.000000085
1444.660034180,0.000000077
1444.700073242,0.000000066
1444.739990234,0.000000072
1444.780029297,0.000000060
1444.819946289,0.000000069
1444.859985352,0.000000089
1444.900024414,0.000000080
1444.940063477,0.000000078
1444.979980469,0.000000082
1445.020019531,0.000000052
1445.059936523,0.000000059
1445.099975586,0.000000073
1445.140014648,0.000000072
1445.180053711,0.000000071
1445.220092773,0.000000053
1445.260009766,0.000000069
1445.299926758,0.000000081
1445.339965820,0.000000076
1445.380004883,0.000000062
1445.420043945,0.000000066
1445.460083008,0.000000051
1445.500000000,0.000000058
1445.539916992,0.000000078
1445.579956055,0.000000042
1445.619995117,0.000000061
1445.660034180,0.000000076
1445.700073242,0.000000060
1445.740112305,0.000000066
1445.779907227,0.000000046
1445.819946289,0.000000074
1445.859985352,0.000000071
1445.900024414,0.000000072
1445.940063477,0.000000087
1445.980102539,0.000000062
1446.019897461,0.000000072
1446.059936523,0.000000059
1446.099975586,0.000000055
1446.140014648,0.000000040
1446.180053711,0.000000057
1446.220092773,0.000000062
1446.259887695,0.000000078
1446.299926758,0.000000050
1446.339965820,0.000000039
1446.380004883,0.000000066
1446.420043945,0.000000038
1446.460083008,0.000000055
1446.500000000,0.000000034
1446.539916992,0.000000025
1446.579956055,0.000000051
1446.619995117,0.000000063
1446.660034180,0.000000047
1446.700073242,0.000000047
1446.739990234,0.000000038
1446.779907227,0.000000032
1446.819946289,0.000000054
1446.859985352,0.000000040
1446.900024414,0.000000030
1446.940063477,0.000000043
1446.979980469,0.000000069
1447.020019531,0.000000045
1447.059936523,0.000000028
1447.099975586,0.000000031
1447.140014648,0.000000047
1447.180053711,0.000000041
1447.219970703,0.000000049
1447.260009766,0.000000031
1447.299926758,0.000000013
1447.339965820,0.000000016
1447.380004883,0.000000023
1447.420043945,0.000000040
1447.460083008,0.000000062
1447.500000000,0.000000020
1447.539916992,0.000000040
1447.579956055,0.000000038
1447.619995117,0.000000014
1447.660034180,0.000000051
1447.700073242,0.000000021
1447.739990234,0.000000010
1447.780029297,0.000000024
1447.819946289,0.000000015
1447.859985352,0.000000018
1447.900024414,0.000000014
1447.940063477,0.000000012
1447.979980469,0.000000023
1448.020019531,0.000000030
1448.059936523,0.000000016
1448.099975586,0.000000014
1448.140014648,0.000000001
1448.180053711,0.000000012
1448.219970703,0.000000022
1448.260009766,0.000000008
1448.300048828,0.000000038
1448.339965820,0.000000016
1448.380004883,0.000000002
1448.420043945,0.000000032
1448.459960938,0.000000014
1448.500000000,0.000000000
1448.540039062,0.000000015
1448.579956055,0.000000005
1448.619995117,0.000000000
1448.660034180,0.000000015
1448.699951172,0.000000011
1448.739990234,0.000000009
1448.780029297,0.000000011
1448.819946289,0.000000011
1448.859985352,0.000000025
1448.900024414,0.000000019
1448.939941406,0.000000000
1448.979980469,0.000000000
1449.020019531,0.000000019
1449.060058594,0.000000014
1449.099975586,0.000000000
1449.140014648,0.000000009
1449.179931641,0.000000007
1449.219970703,0.000000008
1449.260009766,0.000000000
1449.300048828,0.000000000
1449.339965820,0.000000005
1449.380004883,0.000000009
1449.420043945,0.000000006
1449.459960938,0.000000017
1449.500000000,0.000000000
1449.540039062,0.000000007
1449.580078125,0.000000016
1449.619995117,0.000000017
1449.660034180,0.000000022
1449.699951172,0.000000025
1449.739990234,0.000000014
1449.780029297,0.000000000
1449.820068359,0.000000007
1449.859985352,0.000000010
1449.900024414,0.000000017
1449.939941406,0.000000001
1449.979980469,0.000000008
1450.020019531,0.000000019
1450.060058594,0.000000007
1450.099975586,0.000000032
1450.140014648,0.000000000
1450.179931641,0.000000005
1450.219970703,0.000000008
1450.260009766,0.000000015
1450.300048828,0.000000014
1450.340087891,0.000000016
1450.380004883,0.000000000
1450.419921875,0.000000017
1450.459960938,0.000000021
1450.500000000,0.000000037
1450.540039062,0.000000024
1450.580078125,0.000000020
1450.619995117,0.000000036
1450.659912109,0.000000012
1450.699951172,0.000000026
1450.739990234,0.000000018
1450.780029297,0.000000022
1450.820068359,0.000000027
1450.860107422,0.000000018
1450.899902344,0.000000032
1450.939941406,0.000000045
1450.979980469,0.000000048
1451.020019531,0.000000059
1451.060058594,0.000000034
1451.100097656,0.000000066
1451.139892578,0.000000033
1451.179931641,0.000000040
1451.219970703,0.000000061
1451.260009766,0.000000032
1451.300048828,0.000000057
1451.340087891,0.000000055
1451.380004883,0.000000057
1451.419921875,0.000000033
1451.459960938,0.000000058
1451.500000000,0.000000043
1451.540039062,0.000000066
1451.580078125,0.000000058
1451.619995117,0.000000053
1451.659912109,0.000000063
1451.699951172,0.000000079
1451.739990234,0.000000049
1451.780029297,0.000000055
1451.820068359,0.000000059
1451.859985352,0.000000071
1451.899902344,0.000000065
1451.939941406,0.000000048
1451.979980469,0.000000072
1452.020019531,0.000000104
1452.060058594,0.000000056
1452.100097656,0.000000062
1452.140014648,0.000000075
1452.179931641,0.000000073
1452.219970703,0.000000075
1452.260009766,0.000000092
1452.300048828,0.000000106
1452.340087891,0.000000095
1452.380004883,0.000000101
1452.419921875,0.000000117
1452.459960938,0.000000088
1452.500000000,0.000000111
1452.540039062,0.000000104
1452.580078125,0.000000109
1452.619995117,0.000000098
1452.659912109,0.000000102
1452.699951172,0.000000105
1452.739990234,0.000000113
1452.780029297,0.000000112
1452.820068359,0.000000087
1452.859985352,0.000000074
1452.900024414,0.000000057
1452.939941406,0.000000096
1452.979980469,0.000000084
1453.020019531,0.000000096
1453.060058594,0.000000122
1453.099975586,0.000000126
1453.140014648,0.000000107
1453.179931641,0.000000109
1453.219970703,0.000000104
1453.260009766,0.000000107
1453.300048828,0.000000102
1453.339965820,0.000000138
1453.380004883,0.000000131
1453.420043945,0.000000108
1453.459960938,0.000000136
1453.500000000,0.000000123
1453.540039062,0.000000113
1453.579956055,0.000000133
1453.619995117,0.000000117
1453.660034180,0.000000119
1453.699951172,0.000000123
1453.739990234,0.000000116
1453.780029297,0.000000145
1453.819946289,0.000000095
1453.859985352,0.000000141
1453.900024414,0.000000114
1453.939941406,0.000000122
1453.979980469,0.000000114
1454.020019531,0.000000136
1454.060058594,0.000000124
1454.099975586,0.000000119
1454.140014648,0.000000144
1454.180053711,0.000000133
1454.219970703,0.000000129
1454.260009766,0.000000145
1454.300048828,0.000000141
1454.339965820,0.000000142
1454.380004883,0.000000149
1454.420043945,0.000000150
1454.459960938,0.000000113
1454.500000000,0.000000132
1454.540039062,0.000000113
1454.579956055,0.000000110
1454.619995117,0.000000118
1454.660034180,0.000000133
1454.700073242,0.000000106
1454.739990234,0.000000120
1454.780029297,0.000000114
1454.819946289,0.000000113
1454.859985352,0.000000104
1454.900024414,0.000000109
1454.940063477,0.000000122
1454.979980469,0.000000117
1455.020019531,0.000000128
1455.059936523,0.000000131
1455.099975586,0.000000110
1455.140014648,0.000000120
1455.180053711,0.000000115
1455.219970703,0.000000123
1455.260009766,0.000000122
1455.299926758,0.000000128
1455.339965820,0.000000101
1455.380004883,0.000000124
1455.420043945,0.000000103
1455.460083008,0.000000091
1455.500000000,0.000000085
1455.539916992,0.000000103
1455.579956055,0.000000101
1455.619995117,0.000000086
