# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T12:13:32.664207

wavelength[nm],intensity[nW]
1453.300048828,0.000000117
1453.339965820,0.000000099
1453.380004883,0.000000103
1453.420043945,0.000000089
1453.459960938,0.000000083
1453.500000000,0.000000116
1453.540039062,0.000000116
1453.579956055,0.000000078
1453.619995117,0.000000086
1453.660034180,0.000000082
1453.699951172,0.000000101
1453.739990234,0.000000108
1453.780029297,0.000000076
1453.819946289,0.000000090
1453.859985352,0.000000099
1453.900024414,0.000000064
1453.939941406,0.000000090
1453.979980469,0.000000083
1454.020019531,0.000000085
1454.060058594,0.000000092
1454.099975586,0.000000091
1454.140014648,0.000000093
1454.180053711,0.000000083
1454.219970703,0.000000096
1454.260009766,0.000000094
1454.300048828,0.000000094
1454.339965820,0.000000062
1454.380004883,0.000000093
1454.420043945,0.000000059
1454.459960938,0.000000073
1454.500000000,0.000000087
1454.540039062,0.000000088
1454.579956055,0.000000070
1454.619995117,0.000000092
1454.660034180,0.000000070
1454.700073242,0.000000089
1454.739990234,0.000000074
1454.780029297,0.000000106
1454.819946289,0.000000072
1454.859985352,0.000000073
1454.900024414,0.000000077
1454.940063477,0.000000050
1454.979980469,0.000000060
1455.020019531,0.000000067
1455.059936523,0.000000081
1455.099975586,0.000000097
1455.140014648,0.000000059
1455.180053711,0.000000073
1455.219970703,0.000000069
1455.260009766,0.000000076
1455.299926758,0.000000087
1455.339965820,0.000000049
1455.380004883,0.000000087
1455.420043945,0.000000066
1455.460083008,0.000000080
1455.500000000,0.000000038
1455.539916992,0.000000053
1455.579956055,0.000000077
1455.619995117,0.000000067
1455.660034180,0.000000061
1455.700073242,0.000000055
1455.739990234,0.000000047
1455.779907227,0.000000061
1455.819946289,0.000000023
1455.859985352,0.000000062
1455.900024414,0.000000071
1455.940063477,0.000000049
1455.980102539,0.000000048
1456.020019531,0.000000048
1456.059936523,0.000000055
1456.099975586,0.000000064
1456.140014648,0.000000055
1456.180053711,0.000000054
1456.220092773,0.000000055
1456.260009766,0.000000047
1456.299926758,0.000000031
1456.339965820,0.000000059
1456.380004883,0.000000049
1456.420043945,0.000000034
1456.460083008,0.000000061
1456.500000000,0.000000029
1456.539916992,0.000000065
1456.579956055,0.000000036
1456.619995117,0.000000051
1456.660034180,0.000000044
1456.700073242,0.000000029
1456.739990234,0.000000032
1456.779907227,0.000000059
1456.819946289,0.000000061
1456.859985352,0.000000018
1456.900024414,0.000000040
1456.940063477,0.000000016
1456.980102539,0.000000039
1457.019897461,0.000000033
1457.059936523,0.000000031
1457.099975586,0.000000036
1457.140014648,0.000000011
1457.180053711,0.000000051
1457.220092773,0.000000025
1457.260009766,0.000000037
1457.299926758,0.000000022
1457.339965820,0.000000037
1457.380004883,0.000000037
1457.420043945,0.000000044
1457.460083008,0.000000036
1457.500000000,0.000000013
1457.539916992,0.000000014
1457.579956055,0.000000006
1457.619995117,0.000000024
1457.660034180,0.000000022
1457.700073242,0.000000026
1457.739990234,0.000000033
1457.779907227,0.000000039
1457.819946289,0.000000021
1457.859985352,0.000000039
1457.900024414,0.000000014
1457.940063477,0.000000021
1457.979980469,0.000000025
1458.020019531,0.000000030
1458.059936523,0.000000000
1458.099975586,0.000000035
1458.140014648,0.000000012
1458.180053711,0.000000023
1458.219970703,0.000000008
1458.260009766,0.000000000
1458.299926758,0.000000023
1458.339965820,0.000000013
1458.380004883,0.000000018
1458.420043945,0.000000020
1458.459960938,0.000000015
1458.500000000,0.000000012
1458.540039062,0.000000000
1458.579956055,0.000000010
1458.619995117,0.000000015
1458.660034180,0.000000000
1458.700073242,0.000000009
1458.739990234,0.000000005
1458.780029297,0.000000000
1458.819946289,0.000000000
1458.859985352,0.000000010
1458.900024414,0.000000010
1458.940063477,0.000000015
1458.979980469,0.000000000
1459.020019531,0.000000000
1459.059936523,0.000000010
1459.099975586,0.000000000
1459.140014648,0.000000000
1459.180053711,0.000000000
1459.219970703,0.000000000
1459.260009766,0.000000000
1459.300048828,0.000000004
1459.339965820,0.000000000
1459.380004883,0.000000007
